epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72986,1.16756,3.99932,1.40545,0.00333,1,0.11112,0.06305,1.00871,5.03082,1.33121,0.1,0,0
2,4.83774,1.26478,4.12893,1.69384,0.00333,1,0.10614,0.05834,1.02825,5.04446,1.35136,0.0990001,9.901e-08,9.901e-08
3,6.80816,0.87859,3.6975,1.38172,0.00333,1,0.09083,0.04837,1.04578,5.04661,1.35721,0.0980002,1.9604e-07,1.9604e-07
4,8.50908,1.07338,4.04742,1.59607,0.00333,1,0.09064,0.04937,1.06246,5.07549,1.38185,0.0970003,2.9109e-07,2.9109e-07
5,10.2246,1.02023,3.71474,1.49186,0.00333,1,0.08813,0.04848,1.09592,5.07446,1.40669,0.0960004,3.8416e-07,3.8416e-07
6,11.911,1.04139,4.25773,1.42335,0.00333,1,0.08449,0.04596,1.08887,5.12145,1.41696,0.0950005,4.7525e-07,4.7525e-07
7,13.6509,0.97653,3.90452,1.40695,0.08936,0.8,0.17365,0.13581,0.81476,2.77341,0.98551,0.0940006,5.6436e-07,5.6436e-07
8,16.7237,0.75852,2.38867,1.1748,0.73358,0.6,0.65825,0.55755,0.77542,1.66456,0.92651,0.0930007,6.5149e-07,6.5149e-07
9,19.746,0.83883,1.56994,1.21218,0.95997,0.6,0.68341,0.6139,0.65182,1.39221,0.90725,0.0920007,7.3664e-07,7.3664e-07
10,22.7074,0.68434,1.17818,1.1487,0.69998,0.6,0.61275,0.4887,0.61,1.62997,0.93896,0.0910008,8.1981e-07,8.1981e-07
11,25.4454,0.89127,1.10659,1.30906,0.23116,0.6,0.21343,0.14981,0.73692,2.18141,0.99344,0.0900009,9.01e-07,9.01e-07
12,28.4472,0.50576,0.72098,0.98883,0.43331,0.2,0.14202,0.06434,0.7925,2.42527,1.02588,0.089001,9.8021e-07,9.8021e-07
13,31.2836,0.53798,0.74161,1.04623,0.89568,0.4,0.42943,0.09635,0.85695,2.28069,1.05381,0.0880011,1.05744e-06,1.05744e-06
14,33.961,0.77496,0.81917,1.12749,0.66105,0.39326,0.29442,0.18339,0.8653,2.11528,1.07372,0.0870011,1.13269e-06,1.13269e-06
15,36.7518,0.91861,0.81783,1.32375,0.73094,0.55426,0.45092,0.22678,0.90698,2.0585,1.1063,0.0860012,1.20596e-06,1.20596e-06
16,39.4436,0.72484,0.75753,1.10344,0.63775,0.3653,0.39942,0.30298,0.93068,2.06195,1.1507,0.0850013,1.27725e-06,1.27725e-06
17,42.3347,0.56265,0.48664,0.95792,0.2493,0.4,0.2712,0.21492,1.00254,2.37713,1.24574,0.0840013,1.34656e-06,1.34656e-06
18,45.0848,0.7947,0.92868,1.21564,0.05447,0.2,0.04283,0.03443,1.18353,2.6728,1.33022,0.0830014,1.41389e-06,1.41389e-06
19,47.784,0.55952,0.63699,1.07879,0.00985,0.8,0.01659,0.01082,1.55176,3.29974,1.55322,0.0820015,1.47924e-06,1.47924e-06
20,50.6834,0.70309,0.67391,1.03254,0.00704,0.6,0.00677,0.00437,1.94195,3.73566,1.81629,0.0810015,1.54261e-06,1.54261e-06
21,53.5069,0.74011,0.72541,1.17068,0.0086,0.8,0.00788,0.00431,2.00162,3.92102,1.90097,0.0800016,1.604e-06,1.604e-06
22,56.6808,0.6196,0.52292,1.07227,0.00823,0.8,0.0077,0.00371,2.06375,4.09564,1.96395,0.0790017,1.66341e-06,1.66341e-06
23,59.4832,0.61194,0.51186,0.96202,0.00862,0.8,0.00782,0.00308,2.22041,4.18067,2.0413,0.0780017,1.72084e-06,1.72084e-06
24,62.4321,0.50961,0.57932,0.93962,0.00665,0.6,0.00554,0.00143,2.34091,4.27638,2.08828,0.0770018,1.77629e-06,1.77629e-06
25,65.2799,0.78985,0.82193,1.09412,0.00452,0.4,0.00399,0.00135,2.43594,4.19404,2.13188,0.0760018,1.82976e-06,1.82976e-06
26,68.1893,0.54296,0.45032,0.93383,0.00465,0.4,0.0037,0.00104,2.60342,4.15579,2.20886,0.0750019,1.88125e-06,1.88125e-06
27,71.0006,0.55339,0.52431,1.03799,0.00472,0.4,0.00361,0.00138,2.75775,4.16253,2.25735,0.0740019,1.93076e-06,1.93076e-06
28,73.9491,0.42474,0.44096,0.96485,0.00482,0.4,0.00377,0.00122,2.94618,4.06599,2.26764,0.073002,1.97829e-06,1.97829e-06
29,76.8352,0.72513,0.6883,1.1047,0.00504,0.4,0.0041,0.00139,2.98193,4.0017,2.26462,0.072002,2.02384e-06,2.02384e-06
30,79.6977,0.69978,0.4821,1.07907,0.00541,0.4,0.00465,0.00184,2.90016,3.92735,2.19108,0.0710021,2.06741e-06,2.06741e-06
31,82.617,0.50546,0.43648,0.94316,0.00557,0.4,0.0047,0.0016,3.00418,3.88619,2.26925,0.0700021,2.109e-06,2.109e-06
32,85.8369,0.56281,0.4454,0.97877,0.00554,0.4,0.02371,0.00826,3.09084,3.68491,2.22802,0.0690021,2.14861e-06,2.14861e-06
33,88.8132,0.47788,0.50408,0.95607,0.21449,0.2,0.2072,0.03742,3.03669,3.42455,2.14293,0.0680022,2.18624e-06,2.18624e-06
34,91.814,0.69663,0.60437,1.05312,0.88135,0.4,0.39666,0.15434,2.7899,3.06067,2.01482,0.0670022,2.22189e-06,2.22189e-06
35,94.8223,0.60742,0.49403,1.01878,1,0.36607,0.39677,0.2773,2.2899,2.81099,1.92025,0.0660023,2.25556e-06,2.25556e-06
36,97.7527,0.43496,0.38187,0.87759,1,0.37573,0.39689,0.33714,2.18289,2.69243,1.87688,0.0650023,2.28725e-06,2.28725e-06
37,100.757,0.5175,0.45419,0.95642,1,0.39895,0.39991,0.31924,2.0309,2.49679,1.70207,0.0640023,2.31696e-06,2.31696e-06
38,103.689,0.64221,0.56428,1.01958,0.92213,0.4,0.43291,0.31994,1.89626,2.33659,1.60851,0.0630023,2.34469e-06,2.34469e-06
39,106.551,0.53421,0.46986,1.01126,0.93141,0.4,0.54789,0.36931,1.65249,2.0995,1.43613,0.0620024,2.37044e-06,2.37044e-06
40,109.492,0.59946,0.63186,1.06637,1,0.54596,0.59789,0.43166,1.40256,1.90254,1.3064,0.0610024,2.39421e-06,2.39421e-06
41,112.418,0.49192,0.51449,0.95361,1,0.56224,0.60993,0.42923,1.37462,1.78347,1.25095,0.0600024,2.416e-06,2.416e-06
42,115.74,0.61064,0.54762,1.049,1,0.59527,0.66722,0.43947,1.31007,1.63602,1.1971,0.0590024,2.43581e-06,2.43581e-06
43,118.672,0.40201,0.3835,0.89486,0.96259,0.6,0.73944,0.46253,1.24545,1.54582,1.15088,0.0580025,2.45364e-06,2.45364e-06
